article_no,module_type
120431,Front BW3 CTMC C assy.
121989,Front BW3 CTMC C assy.
122076,Front BW3 CTMC C assy.
122107,Front BW3 CTMC C assy.
123484,Front BW3 CTMC C assy.
124885,Front BW3 CTMC C assy.
125792,Front BW3 CTMC C assy.
125793,Front BW3 CTMC C assy.
126289,Front BW3 CTMC C assy.
126446,Front BW3 CTMC C assy.
126475,Front BW3 CTMC C assy.
126477,Front BW3 CTMC C assy.
126577,Front BW3 CTMC C assy.
104016,frontlift cb
104028,frontlift cb
116752,frontlift cb
116884,frontlift cb
127163,frontlift cb
127164,frontlift cb
104150,frontlift cb
106515,frontlift cb
116542,frontlift cb
116558,frontlift cb
116560,frontlift cb
116832,frontlift cb
117008,frontlift cb
117736,frontlift cb
117737,frontlift cb
120689,frontlift cb
125352,frontlift cb
